Financing of the RUA 		 financing of the RUA 		 Score: 1.0000
universal activity income 		 Universal income even without activity 		 Score: 0.8876
Estate recovery 		 Recoverable from the estate 		 Score: 0.8867
moving towards a universal income 		 Universal income 		 Score: 0.8865
A Universal Income for all citizens 		 Universal income 		 Score: 0.8858
TAKING INTO ACCOUNT THE SPECIFIC ALLOWANCES OF THE CITY OF PARIS 		 SPECIAL ALLOWANCES FROM THE CITY OF PARIS TO BE TAKEN INTO ACCOUNT IN THE CALCULATION OF INCOME 		 Score: 0.8832
Universal Income for ALL 		 Universal income means for everyone. 		 Score: 0.8822
Universal income for all 		 Universal income means for everyone. 		 Score: 0.8822
A Universal Activity Income to compensate for a lack of income 		 Universal income even without activity 		 Score: 0.8805
Universal income even without activity 		 A real UNIVERSAL income (not linked to activity) 		 Score: 0.8803
Establish a Universal Income for all (and therefore not "activity") 		 Universal income even without activity 		 Score: 0.8800
FINANCING 		 for financing 		 Score: 0.8739
Financing 		 for financing 		 Score: 0.8739
Financing 		 for financing 		 Score: 0.8739
A Universal Activity Income to compensate for a lack of income 		 A real UNIVERSAL income (not linked to activity) 		 Score: 0.8723
A Universal Income for all citizens 		 Universal income means for everyone. 		 Score: 0.8716
Establish a Universal Income for all (and therefore not "activity") 		 A real UNIVERSAL income (not linked to activity) 		 Score: 0.8688
Universal income 		 A truly universal income... 		 Score: 0.8684
Rights and duties 		 Rights ok, but duties too 		 Score: 0.8682
Automatic allocation 		 Integrate AUTOMATICITY into the allocation process 		 Score: 0.8662
Universal income 		 universal income calculation 		 Score: 0.8654
No means test if it is to be universal. 		 No means testing, otherwise it is no longer universal 		 Score: 0.8646
Universal income 		 A real UNIVERSAL income (not linked to activity) 		 Score: 0.8630
Condition to be met 		 Conditions to be met 		 Score: 0.8618
Universal Income for ALL 		 moving towards a universal income 		 Score: 0.8617
moving towards a universal income 		 Universal income for all 		 Score: 0.8617
Universal activity income 		 Universal income 		 Score: 0.8599
universal activity income 		 Universal income 		 Score: 0.8599
Universal activity income 		 universal activity income except apl 		 Score: 0.8598
universal activity income except apl 		 universal activity income 		 Score: 0.8598
A compensatory Universal Activity Income 		 A real UNIVERSAL income (not linked to activity) 		 Score: 0.8569
conditions for the universal activity income 		 Universal income even without activity 		 Score: 0.8566
conditions for the universal activity income 		 A real UNIVERSAL income (not linked to activity) 		 Score: 0.8562
A Universal Income for all citizens 		 A truly universal income... 		 Score: 0.8553
Universal activity income 		 Establish a Universal Income for all (and therefore not "activity") 		 Score: 0.8551
universal activity income 		 Establish a Universal Income for all (and therefore not "activity") 		 Score: 0.8551
Rights and duties 		 combine rights with duties 		 Score: 0.8546
The conditions for receiving the Universal Activity Income 		 Universal income even without activity 		 Score: 0.8473
Universal income even without activity 		 Universal income 		 Score: 0.8471
A compensatory Universal Activity Income 		 Universal income even without activity 		 Score: 0.8450
Subject: Universal activity income/unconditional basic income 		 Universal activity income 		 Score: 0.8444
Subject: Universal activity income/unconditional basic income 		 universal activity income 		 Score: 0.8444
A Universal Activity Income to compensate for a lack of income 		 Establish a Universal Income for all (and therefore not "activity") 		 Score: 0.8415
The prerequisites to facilitate the implementation of universal income 		 Universal income 		 Score: 0.8384
RUA operation 		 Operation RU 		 Score: 0.8378
The conditions for receiving the Universal Activity Income 		 Establish a Universal Income for all (and therefore not "activity") 		 Score: 0.8376
conditions for the universal activity income 		 Establish a Universal Income for all (and therefore not "activity") 		 Score: 0.8372
The conditions for receiving the Universal Activity Income 		 A real UNIVERSAL income (not linked to activity) 		 Score: 0.8365
Financing the Universal Activity Income through national solidarity 		 Universal activity income 		 Score: 0.8364
Financing the Universal Activity Income through national solidarity 		 universal activity income 		 Score: 0.8364
Universal Income for ALL 		 universal income calculation 		 Score: 0.8358
Universal income for all 		 universal income calculation 		 Score: 0.8358
Subject: Universal activity income/unconditional basic income 		 The conditions for receiving the Universal Activity Income 		 Score: 0.8351
A truly universal income... 		 Universal income means for everyone. 		 Score: 0.8272
Universal Income for ALL 		 A truly universal income... 		 Score: 0.8268
Universal income for all 		 A truly universal income... 		 Score: 0.8268
Universal Income for ALL 		 Universal income even without activity 		 Score: 0.8256
Universal income for all 		 Universal income even without activity 		 Score: 0.8256
combine rights with duties 		 Rights ok, but duties too 		 Score: 0.8252
Subject: Universal activity income/unconditional basic income 		 conditions for the universal activity income 		 Score: 0.8246
A compensatory Universal Activity Income 		 Establish a Universal Income for all (and therefore not "activity") 		 Score: 0.8236
A truly universal income... 		 A real UNIVERSAL income (not linked to activity) 		 Score: 0.8228
simplification 		 Radical simplification 		 Score: 0.8202
Universal Income for ALL 		 A real UNIVERSAL income (not linked to activity) 		 Score: 0.8193
Universal income for all 		 A real UNIVERSAL income (not linked to activity) 		 Score: 0.8193
Universal Income for ALL 		 Establish a Universal Income for all (and therefore not "activity") 		 Score: 0.8189
Universal income for all 		 Establish a Universal Income for all (and therefore not "activity") 		 Score: 0.8189
A Universal Income for all citizens 		 A real UNIVERSAL income (not linked to activity) 		 Score: 0.8157
the conditions to be met 		 the conditions 		 Score: 0.8147
Universal Income for ALL 		 Universal activity income 		 Score: 0.8142
Universal Income for ALL 		 universal activity income 		 Score: 0.8142
Universal activity income 		 Universal income for all 		 Score: 0.8142
universal activity income 		 Universal income for all 		 Score: 0.8142
moving towards a universal income 		 A real UNIVERSAL income (not linked to activity) 		 Score: 0.8117
Take into account the income of the entire household 		 Household income 		 Score: 0.8091
Household income 		 Take into account the income of the entire household 		 Score: 0.8091
Household income 		 Take into account the income of the entire household 		 Score: 0.8091
Household income 		 Take into account the income of the entire household 		 Score: 0.8091
Condition to be met 		 the conditions to be met 		 Score: 0.8090
Financing the Universal Activity Income through national solidarity 		 Establish a Universal Income for all (and therefore not "activity") 		 Score: 0.8089
conditions for the universal activity income 		 universal activity income except apl 		 Score: 0.8082
moving towards a universal income 		 Universal income even without activity 		 Score: 0.8066
Simplifications 		 Radical simplification 		 Score: 0.8058
moving towards a universal income 		 A truly universal income... 		 Score: 0.8055
The prerequisites to facilitate the implementation of universal income 		 moving towards a universal income 		 Score: 0.8050
universal activity income except apl 		 The conditions for receiving the Universal Activity Income 		 Score: 0.8046
funding 		 funding proposal 		 Score: 0.8040
The prerequisites to facilitate the implementation of universal income 		 Universal income means for everyone. 		 Score: 0.8039
A compensatory Universal Activity Income 		 universal activity income except apl 		 Score: 0.8032
moving towards a universal income 		 Moving from a UCP to a Universal Income 		 Score: 0.8028
that Universal Income be taxable 		 Universal income 		 Score: 0.8013
Take everything into account 		 Take nothing into account 		 Score: 0.8012
A compensatory Universal Activity Income 		 Universal income 		 Score: 0.7996
Subject: Universal activity income/unconditional basic income 		 A real UNIVERSAL income (not linked to activity) 		 Score: 0.7993
The prerequisites to facilitate the implementation of universal income 		 Universal Income for ALL 		 Score: 0.7979
The prerequisites to facilitate the implementation of universal income 		 Universal income for all 		 Score: 0.7979
Financing the Universal Activity Income through national solidarity 		 The conditions for receiving the Universal Activity Income 		 Score: 0.7975
The conditions for receiving the Universal Activity Income 		 In order to benefit from the Universal Activity Income, it will be necessary to perform community service in return (TIG = unpaid work for an association or a public service) 		 Score: 0.7948
I AM AGAINST A UNIVERSAL INCOME WITHOUT WORK IN RETURN 		 Universal income even without activity 		 Score: 0.7948
Universal Income for ALL 		 that Universal Income be taxable 		 Score: 0.7937
that Universal Income be taxable 		 Universal income for all 		 Score: 0.7937
Criteria to benefit from the RUA 		 Concerns for the RUA 		 Score: 0.7918
A Universal Income for all citizens 		 Establish a Universal Income for all (and therefore not "activity") 		 Score: 0.7909
Subject: Universal activity income/unconditional basic income 		 A compensatory Universal Activity Income 		 Score: 0.7895
moving towards a universal income 		 A Universal Income for all citizens 		 Score: 0.7879
Financing the Universal Activity Income through national solidarity 		 A compensatory Universal Activity Income 		 Score: 0.7875
Universal activity income 		 moving towards a universal income 		 Score: 0.7865
moving towards a universal income 		 universal activity income 		 Score: 0.7865
moving towards a universal income 		 Universal income means for everyone. 		 Score: 0.7845
Detecting people eligible for the Universal Activity Income in order to inform them of their right 		 The conditions for receiving the Universal Activity Income 		 Score: 0.7830
Financing the Universal Activity Income through national solidarity 		 conditions for the universal activity income 		 Score: 0.7830
Establish a Universal Income for all (and therefore not "activity") 		 Universal income 		 Score: 0.7815
Financing the Universal Activity Income through national solidarity 		 A real UNIVERSAL income (not linked to activity) 		 Score: 0.7813
Subject: Universal activity income/unconditional basic income 		 Universal income even without activity 		 Score: 0.7808
Financing the Universal Activity Income through national solidarity 		 Universal income even without activity 		 Score: 0.7789
Financing the Universal Activity Income through national solidarity 		 A Universal Activity Income to compensate for a lack of income 		 Score: 0.7786
universal activity income except apl 		 Universal income even without activity 		 Score: 0.7786
A Universal Activity Income to compensate for a lack of income 		 Subject: Universal activity income/unconditional basic income 		 Score: 0.7786
Subject: Universal activity income/unconditional basic income 		 Establish a Universal Income for all (and therefore not "activity") 		 Score: 0.7785
A Universal Activity Income to compensate for a lack of income 		 universal activity income except apl 		 Score: 0.7784
Universal income means for everyone. 		 A real UNIVERSAL income (not linked to activity) 		 Score: 0.7772
The prerequisites to facilitate the implementation of universal income 		 A Universal Income for all citizens 		 Score: 0.7771
Universal activity income 		 In order to benefit from the Universal Activity Income, it will be necessary to perform community service in return (TIG = unpaid work for an association or a public service) 		 Score: 0.7766
universal activity income 		 In order to benefit from the Universal Activity Income, it will be necessary to perform community service in return (TIG = unpaid work for an association or a public service) 		 Score: 0.7766
Under what conditions 		 the conditions 		 Score: 0.7763
The conditions for receiving the Universal Activity Income 		 Universal income 		 Score: 0.7761
conditions for the universal activity income 		 Universal income 		 Score: 0.7743
Recovering aid from an estate 		 Recoverable from the estate 		 Score: 0.7742
The prerequisites to facilitate the implementation of universal income 		 Establish a Universal Income for all (and therefore not "activity") 		 Score: 0.7736
The prerequisites to facilitate the implementation of universal income 		 universal income calculation 		 Score: 0.7733
Household income 		 Income 		 Score: 0.7732
Household income 		 Income 		 Score: 0.7732
Universal activity income 		 Universal income means for everyone. 		 Score: 0.7729
universal activity income 		 Universal income means for everyone. 		 Score: 0.7729
Universal income even without activity 		 Universal income means for everyone. 		 Score: 0.7728
RUA operation 		 activity in return for the rua 		 Score: 0.7727
Subject: Universal activity income/unconditional basic income 		 Universal income 		 Score: 0.7716
A Universal Income for all citizens 		 Universal income even without activity 		 Score: 0.7712
The prerequisites to facilitate the implementation of universal income 		 A real UNIVERSAL income (not linked to activity) 		 Score: 0.7706
Universal activity income 		 Considering a negative personal income tax as a universal activity income 		 Score: 0.7703
Considering a negative personal income tax as a universal activity income 		 universal activity income 		 Score: 0.7703
A Universal Activity Income to compensate for a lack of income 		 Universal income 		 Score: 0.7693
Universal activity income 		 universal income calculation 		 Score: 0.7693
universal activity income 		 universal income calculation 		 Score: 0.7693
A Universal Activity Income to compensate for a lack of income 		 In order to benefit from the Universal Activity Income, it will be necessary to perform community service in return (TIG = unpaid work for an association or a public service) 		 Score: 0.7691
Household income 		 Take into account the income and situation of the household 		 Score: 0.7687
Take into account all assets and income (individual or household depending on valuation) and all expenses and obligations 		 Take into account not only income but also assets 		 Score: 0.7685
Criteria to benefit from the RUA 		 there are no conditions to be met in order to benefit from the RUA 		 Score: 0.7682
universal activity income except apl 		 A real UNIVERSAL income (not linked to activity) 		 Score: 0.7677
moving towards a universal income 		 Establish a Universal Income for all (and therefore not "activity") 		 Score: 0.7664
No Conditions 		 the conditions 		 Score: 0.7635
Detecting people eligible for the Universal Activity Income in order to inform them of their right 		 Universal activity income 		 Score: 0.7624
Detecting people eligible for the Universal Activity Income in order to inform them of their right 		 universal activity income 		 Score: 0.7624
moving towards a universal income 		 universal income calculation 		 Score: 0.7614
Establish a Universal Income for all (and therefore not "activity") 		 Universal income means for everyone. 		 Score: 0.7614
universal activity income except apl 		 the Housing Allowance (APL) is not an activity income 		 Score: 0.7609
Minimum income for all 		 A minimum income from age 18 to 62 		 Score: 0.7606
The prerequisites to facilitate the implementation of universal income 		 The conditions for receiving the Universal Activity Income 		 Score: 0.7603
Take into account the income of the entire household 		 Take into account the person's income 		 Score: 0.7602
Take into account the income of the entire household 		 Take into account the person's income 		 Score: 0.7602
Take into account the income of the entire household 		 Take into account the person's income 		 Score: 0.7602
Take into account the income of the entire household 		 Take into account the person's income 		 Score: 0.7602
Universal activity income 		 A Universal Income for all citizens 		 Score: 0.7602
universal activity income 		 A Universal Income for all citizens 		 Score: 0.7602
that Universal Income be taxable 		 Universal income means for everyone. 		 Score: 0.7595
that Universal Income be taxable 		 A Universal Income for all citizens 		 Score: 0.7590
FINANCING 		 Self-financing 		 Score: 0.7588
Financing 		 Self-financing 		 Score: 0.7588
Financing 		 Self-financing 		 Score: 0.7588
There should be no conditions for universal income, other than age (and still...). 		 Universal income even without activity 		 Score: 0.7566
Universality Taking into account income and work periods 		 Universal income 		 Score: 0.7565
RUA operation 		 Concerns for the RUA 		 Score: 0.7557
universal income calculation 		 Universal income means for everyone. 		 Score: 0.7556
Basic Income 		 Income 		 Score: 0.7554
Basic Income 		 Income 		 Score: 0.7554
universal activity income except apl 		 Establish a Universal Income for all (and therefore not "activity") 		 Score: 0.7550
Subject: Universal activity income/unconditional basic income 		 Basic Income 		 Score: 0.7550
Subject: Universal activity income/unconditional basic income 		 universal activity income except apl 		 Score: 0.7544
A Universal Income for all citizens 		 universal income calculation 		 Score: 0.7540
Take everything into account 		 It must take everything into account 		 Score: 0.7538
Financing the Universal Activity Income through national solidarity 		 Universal income 		 Score: 0.7537
A compensatory Universal Activity Income 		 Universal Income for ALL 		 Score: 0.7526
A compensatory Universal Activity Income 		 Universal income for all 		 Score: 0.7526
The prerequisites to facilitate the implementation of universal income 		 A truly universal income... 		 Score: 0.7500
conditions for the universal activity income 		 Considering a negative personal income tax as a universal activity income 		 Score: 0.7492
Considering a negative personal income tax as a universal activity income 		 The conditions for receiving the Universal Activity Income 		 Score: 0.7486
The prerequisites to facilitate the implementation of universal income 		 Universal activity income 		 Score: 0.7484
The prerequisites to facilitate the implementation of universal income 		 universal activity income 		 Score: 0.7484
Recovering aid from an estate 		 Estate recovery 		 Score: 0.7456
Universal income even without activity 		 A truly universal income... 		 Score: 0.7455
The prerequisites to facilitate the implementation of universal income 		 Universal income even without activity 		 Score: 0.7447
universal income calculation 		 A real UNIVERSAL income (not linked to activity) 		 Score: 0.7442
Financing the Universal Activity Income through national solidarity 		 Universal Income for ALL 		 Score: 0.7440
Financing the Universal Activity Income through national solidarity 		 Universal income for all 		 Score: 0.7440
Detecting people eligible for the Universal Activity Income in order to inform them of their right 		 conditions for the universal activity income 		 Score: 0.7425
A compensatory Universal Activity Income 		 Considering a negative personal income tax as a universal activity income 		 Score: 0.7425
I AM AGAINST A UNIVERSAL INCOME WITHOUT WORK IN RETURN 		 Universal income 		 Score: 0.7413
I AM AGAINST A UNIVERSAL INCOME WITHOUT WORK IN RETURN 		 moving towards a universal income 		 Score: 0.7411
Conditions to be met 		 the conditions 		 Score: 0.7410
RUA for all without conditions 		 there are no conditions to be met in order to benefit from the RUA 		 Score: 0.7405
Rights and duties 		 Control of rights 		 Score: 0.7402
creative financing 		 FINANCING 		 Score: 0.7400
creative financing 		 Financing 		 Score: 0.7400
creative financing 		 Financing 		 Score: 0.7400
creative financing 		 FINANCING 		 Score: 0.7400
creative financing 		 Financing 		 Score: 0.7400
creative financing 		 Financing 		 Score: 0.7400
Financing the Universal Activity Income through national solidarity 		 National solidarity that includes capital income 		 Score: 0.7394
Universal Income for ALL 		 The conditions for receiving the Universal Activity Income 		 Score: 0.7390
The conditions for receiving the Universal Activity Income 		 Universal income for all 		 Score: 0.7390
An automated payment 		 PAYMENT 		 Score: 0.7386
Under what conditions 		 the conditions to be met 		 Score: 0.7386
Unconditional to every French citizen 		 only condition = French citizen 		 Score: 0.7384
Universality Taking into account income and work periods 		 A compensatory Universal Activity Income 		 Score: 0.7381
Income 		 Universal income 		 Score: 0.7378
Income 		 Universal income 		 Score: 0.7378
Detecting people eligible for the Universal Activity Income in order to inform them of their right 		 A Universal Activity Income to compensate for a lack of income 		 Score: 0.7377
Under what conditions 		 No Conditions 		 Score: 0.7370
Under what conditions 		 No conditions, just the fact of existing. 		 Score: 0.7365
A Universal Activity Income to compensate for a lack of income 		 Considering a negative personal income tax as a universal activity income 		 Score: 0.7363
Considering a negative personal income tax as a universal activity income 		 Universal income even without activity 		 Score: 0.7362
Financing the Universal Activity Income through national solidarity 		 In order to benefit from the Universal Activity Income, it will be necessary to perform community service in return (TIG = unpaid work for an association or a public service) 		 Score: 0.7350
Financing the Universal Activity Income through national solidarity 		 Subject: Universal activity income/unconditional basic income 		 Score: 0.7338
Take into account the fact that you have dependent children 		 Dependent child 		 Score: 0.7333
conditions for the universal activity income 		 Universal Income for ALL 		 Score: 0.7331
conditions for the universal activity income 		 Universal income for all 		 Score: 0.7331
conditions for the universal activity income 		 In order to benefit from the Universal Activity Income, it will be necessary to perform community service in return (TIG = unpaid work for an association or a public service) 		 Score: 0.7329
A compensatory Universal Activity Income 		 A Universal Income for all citizens 		 Score: 0.7321
A compensatory Universal Activity Income 		 moving towards a universal income 		 Score: 0.7315
No conditions, just the fact of existing. 		 No Conditions 		 Score: 0.7311
Financing the Universal Activity Income through national solidarity 		 moving towards a universal income 		 Score: 0.7309
I AM AGAINST A UNIVERSAL INCOME WITHOUT WORK IN RETURN 		 Universal Income for ALL 		 Score: 0.7305
I AM AGAINST A UNIVERSAL INCOME WITHOUT WORK IN RETURN 		 Universal income for all 		 Score: 0.7305
Detecting people eligible for the Universal Activity Income in order to inform them of their right 		 Establish a Universal Income for all (and therefore not "activity") 		 Score: 0.7305
A Universal Activity Income to compensate for a lack of income 		 moving towards a universal income 		 Score: 0.7301
Universality Taking into account income and work periods 		 conditions for the universal activity income 		 Score: 0.7301
A Universal Activity Income to compensate for a lack of income 		 I AM AGAINST A UNIVERSAL INCOME WITHOUT WORK IN RETURN 		 Score: 0.7297
moving towards a universal income 		 The conditions for receiving the Universal Activity Income 		 Score: 0.7293
Universality Taking into account income and work periods 		 universal income calculation 		 Score: 0.7291
Concerns for the RUA 		 activity in return for the rua 		 Score: 0.7289
The prerequisites to facilitate the implementation of universal income 		 conditions for the universal activity income 		 Score: 0.7289
that Universal Income be taxable 		 Universal income even without activity 		 Score: 0.7285
TAKE INTO ACCOUNT THE INCOME OF EACH PERSON, NOT THE COUPLE 		 Take into account the person's income 		 Score: 0.7283
Under what conditions 		 Conditions to be met 		 Score: 0.7282
The conditions for receiving the Universal Activity Income 		 Universal income means for everyone. 		 Score: 0.7280
Subject: Universal activity income/unconditional basic income 		 The prerequisites to facilitate the implementation of universal income 		 Score: 0.7279
Subject: Universal activity income/unconditional basic income 		 Universal Income for ALL 		 Score: 0.7278
Subject: Universal activity income/unconditional basic income 		 Universal income for all 		 Score: 0.7278
RUA for all without conditions 		 Permanent exclusion from the rua 		 Score: 0.7278
A Universal Activity Income to compensate for a lack of income 		 Universal Income for ALL 		 Score: 0.7266
A Universal Activity Income to compensate for a lack of income 		 Universal income for all 		 Score: 0.7266
Detecting people eligible for the Universal Activity Income in order to inform them of their right 		 A compensatory Universal Activity Income 		 Score: 0.7257
FINANCING 		 Financing from the estate 		 Score: 0.7254
Financing 		 Financing from the estate 		 Score: 0.7254
Financing 		 Financing from the estate 		 Score: 0.7254
Universal activity income 		 A truly universal income... 		 Score: 0.7252
universal activity income 		 A truly universal income... 		 Score: 0.7252
A compensatory Universal Activity Income 		 Universal income means for everyone. 		 Score: 0.7251
33% VAT 		 VAT 		 Score: 0.7250
Income 		 just on income 		 Score: 0.7248
Income 		 just on income 		 Score: 0.7248
Universality Taking into account income and work periods 		 Universal income even without activity 		 Score: 0.7244
Do not include the aah in the universal income 		 Universal income 		 Score: 0.7240
Universal income even without activity 		 universal income calculation 		 Score: 0.7239
A Universal Activity Income to compensate for a lack of income 		 A Universal Income for all citizens 		 Score: 0.7230
Minimum income for all without distinction 		 A minimum income from age 18 to 62 		 Score: 0.7215
not 		 No 		 Score: 0.7214
Take into account the income and situation of the household 		 Take into account the person's income 		 Score: 0.7211
A Universal Activity Income to compensate for a lack of income 		 Universal income means for everyone. 		 Score: 0.7206
funding 		 U.A.R. funding 		 Score: 0.7204
conditions for the universal activity income 		 moving towards a universal income 		 Score: 0.7202
Universal Income for ALL 		 Do not include the aah in the universal income 		 Score: 0.7199
Do not include the aah in the universal income 		 Universal income for all 		 Score: 0.7199
there are no conditions to be met in order to benefit from the RUA 		 Permanent exclusion from the rua 		 Score: 0.7199
RUA operation 		 RUA for all without conditions 		 Score: 0.7197
universal activity income except apl 		 Universal income 		 Score: 0.7189
that Universal Income be taxable 		 Considering a negative personal income tax as a universal activity income 		 Score: 0.7184
Taxes on robots, gaffes... 		 Technology tax (robot) 		 Score: 0.7182
that Universal Income be taxable 		 moving towards a universal income 		 Score: 0.7173
conditions for the universal activity income 		 Universal income means for everyone. 		 Score: 0.7158
A compensatory Universal Activity Income 		 universal income calculation 		 Score: 0.7155
In order to benefit from the Universal Activity Income, it will be necessary to perform community service in return (TIG = unpaid work for an association or a public service) 		 Establish a Universal Income for all (and therefore not "activity") 		 Score: 0.7153
A compensatory Universal Activity Income 		 In order to benefit from the Universal Activity Income, it will be necessary to perform community service in return (TIG = unpaid work for an association or a public service) 		 Score: 0.7152
Considering a negative personal income tax as a universal activity income 		 A real UNIVERSAL income (not linked to activity) 		 Score: 0.7152
that Universal Income be taxable 		 universal income calculation 		 Score: 0.7151
that the RUA comes in addition to the ahh or disability pension 		 Exclude disability from the scope of the RUA 		 Score: 0.7150
conditions for the universal activity income 		 A Universal Income for all citizens 		 Score: 0.7147
that Universal Income be taxable 		 Universal activity income 		 Score: 0.7145
that Universal Income be taxable 		 universal activity income 		 Score: 0.7145
Minimum income for all 		 Single Minimum Income RMU 		 Score: 0.7145
Automaticity 		 Automatic for all 		 Score: 0.7143
Income 		 per capita income 		 Score: 0.7143
Income 		 per capita income 		 Score: 0.7143
A Universal Activity Income to compensate for a lack of income 		 The prerequisites to facilitate the implementation of universal income 		 Score: 0.7143
Considering a negative personal income tax as a universal activity income 		 Establish a Universal Income for all (and therefore not "activity") 		 Score: 0.7143
Detecting people eligible for the Universal Activity Income in order to inform them of their right 		 Subject: Universal activity income/unconditional basic income 		 Score: 0.7142
Household income 		 Not just income, household expenses too... 		 Score: 0.7141
Do not take the person's personal situation into account when calculating income (AAH) 		 Take into account the person's income 		 Score: 0.7136
Universality Taking into account income and work periods 		 Universal Income for ALL 		 Score: 0.7131
Universality Taking into account income and work periods 		 Universal income for all 		 Score: 0.7131
activity in return for the rua 		 Criteria to benefit from the RUA 		 Score: 0.7131
A compensatory Universal Activity Income 		 The prerequisites to facilitate the implementation of universal income 		 Score: 0.7130
Universality Taking into account income and work periods 		 Universal income means for everyone. 		 Score: 0.7126
Universality Taking into account income and work periods 		 The conditions for receiving the Universal Activity Income 		 Score: 0.7118
Universality Taking into account income and work periods 		 Universal activity income 		 Score: 0.7109
Universality Taking into account income and work periods 		 universal activity income 		 Score: 0.7109
AAH and RUA 		 NO to the merger of the AAH with the RUA 		 Score: 0.7103
The conditions for receiving the Universal Activity Income 		 A Universal Income for all citizens 		 Score: 0.7103
Establish a Universal Income for all (and therefore not "activity") 		 A truly universal income... 		 Score: 0.7102
Set a decent minimum income. 		 have a low income 		 Score: 0.7100
Take into account the amounts of the rent or mortgage 		 Take into account the cost of housing 		 Score: 0.7098
Financing the Universal Activity Income through national solidarity 		 The prerequisites to facilitate the implementation of universal income 		 Score: 0.7096
Detecting people eligible for the Universal Activity Income in order to inform them of their right 		 Universal income even without activity 		 Score: 0.7096
Do not include the aah in the universal income 		 universal income calculation 		 Score: 0.7086
Do not include the aah in the universal income 		 universal activity income except apl 		 Score: 0.7086
You said universal! 		 Universal 		 Score: 0.7080
Financing of the RUA 		 Financing the RUA with ACS CMU-C aid 		 Score: 0.7079
financing of the RUA 		 Financing the RUA with ACS CMU-C aid 		 Score: 0.7079
Detecting people eligible for the Universal Activity Income in order to inform them of their right 		 A real UNIVERSAL income (not linked to activity) 		 Score: 0.7078
REDISTRIBUTION SOCIAL AND FISCAL JUSTICE. 		 Redistribution 		 Score: 0.7077
Universal Income for ALL 		 There should be no conditions for universal income, other than age (and still...). 		 Score: 0.7076
