revenu universel pour tous 		 revenu universel pour tous 		 Score: 1.0000
Aah 		 AAH 		 Score: 0.9859
Aah 		 AAH 		 Score: 0.9859
À tous 		 A tous . 		 Score: 0.9832
À tous 		 A tous . 		 Score: 0.9832
Des aides, oui, mais... 		 des aides oui mais ..... 		 Score: 0.9818
Un revenu universel pour chacun(e) 		 revenu universel pour tous 		 Score: 0.9784
Un revenu universel pour chacun(e) 		 revenu universel pour tous 		 Score: 0.9784
À tous 		 À tout le monde 		 Score: 0.9754
À tout le monde 		 À tous 		 Score: 0.9754
Aux parents en congé parental 		 Aux parents en congé parental et aux parents au foyer 		 Score: 0.9734
A tout le monde 		 a tout le monde 		 Score: 0.9712
A tout le monde 		 a tout le monde 		 Score: 0.9712
a tout le monde 		 A tout le monde 		 Score: 0.9712
AAH 		 aah 		 Score: 0.9707
AAH 		 aah 		 Score: 0.9707
aah 		 AAH 		 Score: 0.9707
aah 		 AAH 		 Score: 0.9707
Universel 		 Universel . 		 Score: 0.9689
À tous 		 A tout le monde 		 Score: 0.9673
À tous 		 A tout le monde 		 Score: 0.9673
À tous 		 A tout le monde 		 Score: 0.9673
A tout le monde 		 À tous 		 Score: 0.9673
À tous 		 A tout le monde 		 Score: 0.9673
À tous 		 A tout le monde 		 Score: 0.9673
Les personnes handicapées en situation de pauvreté 		 Les personnes handicapées et leurs familles en situation de pauvreté 		 Score: 0.9660
AAH dans RUA 		 RUA et AAH 		 Score: 0.9647
AAH dans RUA 		 RUA et AAH 		 Score: 0.9647
A tous 		 À tout le monde 		 Score: 0.9641
À tout le monde 		 A tous 		 Score: 0.9641
À tout le monde 		 A tous 		 Score: 0.9641
Pour tout ceux en situation de pauvreté 		 A tous ceux qui sont en précarité, pauvreté 		 Score: 0.9639
A tous les citoyens français 		 Tout citoyen Français 		 Score: 0.9626
revenu universel pour tous 		 Un revenu Universel pour tous 		 Score: 0.9591
revenu universel pour tous 		 Un revenu Universel pour tous 		 Score: 0.9591
Tout majeur et mineur émancipé 		 A tout majeur et mineur émancipé 		 Score: 0.9590
A tous 		 A tout le monde 		 Score: 0.9587
A tous 		 A tout le monde 		 Score: 0.9587
A tous 		 A tout le monde 		 Score: 0.9587
A tout le monde 		 A tous 		 Score: 0.9587
A tout le monde 		 A tous 		 Score: 0.9587
A tout le monde 		 A tous 		 Score: 0.9587
A tout le monde 		 A tous 		 Score: 0.9587
A tous 		 A tout le monde 		 Score: 0.9587
A tous 		 A tout le monde 		 Score: 0.9587
A tous les CITOYENS 		 A toutes &amp 		 Score: 0.9578
À tout le monde 		 A tous . 		 Score: 0.9566
AUX FRANCAIS 		 A TOUS LES FRANCAIS 		 Score: 0.9552
A tout le monde 		 A tous . 		 Score: 0.9547
A tous . 		 A tout le monde 		 Score: 0.9547
A tous . 		 A tout le monde 		 Score: 0.9547
Sauf handicapés 		 personne en situation de handicap 		 Score: 0.9496
Revenu universel pour tous 		 Revenu universel pour tous sans condition 		 Score: 0.9482
Revenu universel pour tous 		 Revenu universel pour tous sans condition 		 Score: 0.9482
Revenu universel pour tous 		 Revenu universel pour tous sans condition 		 Score: 0.9482
A tous 		 A toutes &amp 		 Score: 0.9480
A tous 		 A toutes &amp 		 Score: 0.9480
A tous 		 A toutes &amp 		 Score: 0.9480
un revenu universel 		 revenu universel pour tous 		 Score: 0.9470
un revenu universel 		 revenu universel pour tous 		 Score: 0.9470
À tout le monde 		 a tout le monde 		 Score: 0.9468
Tout le monde 		 a tout le monde 		 Score: 0.9457
a tout le monde 		 Tout le monde 		 Score: 0.9457
Un revenu universel pour chacun(e) 		 un revenu universel 		 Score: 0.9446
AUX FRANCAIS 		 Aux Français 		 Score: 0.9439
A TOUS LES FRANCAIS 		 Aux Français 		 Score: 0.9423
A qui doit s'adresser le revenu universel 		 un revenu universel 		 Score: 0.9417
A qui le RUA s' adresse t il ? 		 A qui le RUA doit-il s'adresser ? 		 Score: 0.9414
A tout les français sans distinction 		 A TOUS LES FRANCAIS 		 Score: 0.9410
À tous 		 A toutes &amp 		 Score: 0.9399
À tous 		 A toutes &amp 		 Score: 0.9399
A tous . 		 A toutes &amp 		 Score: 0.9399
RUA 		 RU 		 Score: 0.9379
RUA 		 RU 		 Score: 0.9379
RUA 		 RU 		 Score: 0.9379
RUA 		 RU 		 Score: 0.9379
RUA 		 RU 		 Score: 0.9379
RUA 		 RU 		 Score: 0.9379
un revenu universel 		 TOUT LE MONDE si c'est un revenu universel 		 Score: 0.9371
un revenu universel 		 Un revenu Universel pour tous 		 Score: 0.9371
A TOUT CITOYEN FRANCAIS 		 A TOUS LES FRANCAIS 		 Score: 0.9368
Un revenu universel pour chacun(e) 		 Un revenu Universel pour tous 		 Score: 0.9364
pour tous 		 TUA pour tous 		 Score: 0.9354
A tous 		 A tous les CITOYENS 		 Score: 0.9353
A tous les CITOYENS 		 A tous 		 Score: 0.9353
A tous les CITOYENS 		 A tous 		 Score: 0.9353
Un revenu pour tous 		 pour tous en fonction des revenus 		 Score: 0.9341
Intégration de l'aah dans le RUA 		 AAH dans RUA 		 Score: 0.9335
A TOUT CITOYEN FRANCAIS 		 AUX FRANCAIS 		 Score: 0.9326
Attribution à chaque citoyen français. 		 Tout citoyen Français 		 Score: 0.9294
a qui le revenu universel doit s adresser 		 un revenu universel 		 Score: 0.9285
A tout les français sans distinction 		 Aux Français 		 Score: 0.9281
Le RUA ne doit prendre en compte l'AAH 		 l'AAH ne doit pas devenir RUA 		 Score: 0.9279
À tous 		 A tous les CITOYENS 		 Score: 0.9278
A tous les CITOYENS 		 À tous 		 Score: 0.9278
Aux mères au foyer 		 Mère au foyer 		 Score: 0.9271
A tout les français sans distinction 		 A TOUT CITOYEN FRANCAIS 		 Score: 0.9268
Pour tous 		 TUA pour tous 		 Score: 0.9260
Pour tous 		 TUA pour tous 		 Score: 0.9260
TUA pour tous 		 Pour tous 		 Score: 0.9260
TUA pour tous 		 Pour tous 		 Score: 0.9260
TUA pour tous 		 Pour tous 		 Score: 0.9260
Un revenu universel pour chacun(e) 		 A qui doit s'adresser le revenu universel 		 Score: 0.9240
A tous les CITOYENS 		 A tous . 		 Score: 0.9237
A TOUT CITOYEN FRANCAIS 		 A TOUT LE MONDE 		 Score: 0.9224
A tout le monde dès la naissance 		 A Tous dès la naissance et toute la vie 		 Score: 0.9209
À tous 		 a tout le monde 		 Score: 0.9206
À tous 		 a tout le monde 		 Score: 0.9206
A qui doit s'adresser le revenu universel 		 TOUT LE MONDE si c'est un revenu universel 		 Score: 0.9185
Intégration de l'aah dans le RUA 		 RUA et AAH 		 Score: 0.9170
Intégration de l'aah dans le RUA 		 RUA et AAH 		 Score: 0.9170
A tout le monde 		 Tout le monde 		 Score: 0.9162
A tout le monde 		 Tout le monde 		 Score: 0.9162
A tout le monde 		 Tout le monde 		 Score: 0.9162
A tout le monde 		 Tout le monde 		 Score: 0.9162
Tout le monde 		 A tout le monde 		 Score: 0.9162
Tout le monde 		 A tout le monde 		 Score: 0.9162
A qui doit s'adresser le revenu universel 		 revenu universel pour tous 		 Score: 0.9133
A qui doit s'adresser le revenu universel 		 revenu universel pour tous 		 Score: 0.9133
Étudiant et jeunes après leurs études 		 les jeunes finissant leurs études 		 Score: 0.9131
A TOUT CITOYEN FRANCAIS 		 Aux Français 		 Score: 0.9130
A tout les français sans distinction 		 AUX FRANCAIS 		 Score: 0.9125
À tout le monde 		 A tous les CITOYENS 		 Score: 0.9123
Un revenu Universel pour tous 		 TOUT LE MONDE si c'est un revenu universel 		 Score: 0.9122
A tous les citoyens français 		 A TOUS LES FRANCAIS 		 Score: 0.9120
revenu universel pour tous 		 TOUT LE MONDE si c'est un revenu universel 		 Score: 0.9114
revenu universel pour tous 		 TOUT LE MONDE si c'est un revenu universel 		 Score: 0.9114
Un revenu universel pour chacun(e) 		 a qui le revenu universel doit s adresser 		 Score: 0.9112
Les personnes handicapées et leurs familles en situation de pauvreté 		 Jeunes, handicapes, familles pauvres avec enfants 		 Score: 0.9107
a qui le revenu universel doit s adresser 		 TOUT LE MONDE si c'est un revenu universel 		 Score: 0.9097
Pour tous 		 À tous 		 Score: 0.9096
Pour tous 		 À tous 		 Score: 0.9096
À tous 		 Pour tous 		 Score: 0.9096
À tous 		 Pour tous 		 Score: 0.9096
À tous 		 Pour tous 		 Score: 0.9096
À tous 		 Pour tous 		 Score: 0.9096
À tous 		 Pour tous 		 Score: 0.9096
À tous 		 Pour tous 		 Score: 0.9096
À tous 		 Pour tous 		 Score: 0.9096
À tous 		 Pour tous 		 Score: 0.9096
NON aux personnes handicapées 		 Certainement pas aux personnes handicapées 		 Score: 0.9093
Tout le monde : c'est un revenu UNIVERSEL 		 TOUT LE MONDE si c'est un revenu universel 		 Score: 0.9086
A tous 		 a tout le monde 		 Score: 0.9083
a tout le monde 		 A tous 		 Score: 0.9083
a tout le monde 		 A tous 		 Score: 0.9083
A tous . 		 a tout le monde 		 Score: 0.9081
Mères isolées et familles nombreuses 		 mères isolées ayant élevé elurs enfants seules 		 Score: 0.9073
A TOUT LE MONDE 		 A TOUS LES FRANCAIS 		 Score: 0.9066
prioriser le revenu universel d'activité 		 revenu universel d'activite 		 Score: 0.9065
UNIVERSEL 		 Universelle 		 Score: 0.9060
Universelle 		 UNIVERSEL 		 Score: 0.9060
A tout les français sans distinction 		 A tous les citoyens français 		 Score: 0.9059
Universel ? Donc pour tous 		 Universel = Qui s'applique à tous 		 Score: 0.9057
un revenu universel 		 Tout le monde : c'est un revenu UNIVERSEL 		 Score: 0.9056
A tout le monde 		 A tous les CITOYENS 		 Score: 0.9055
A tous les CITOYENS 		 A tout le monde 		 Score: 0.9055
A tous les CITOYENS 		 A tout le monde 		 Score: 0.9055
revenu universel pour tous 		 Tout le monde : c'est un revenu UNIVERSEL 		 Score: 0.9051
revenu universel pour tous 		 Tout le monde : c'est un revenu UNIVERSEL 		 Score: 0.9051
Un revenu d'existence pour tous les Français 		 un revenu universel et franco-français 		 Score: 0.9047
A tout le monde 		 A toutes &amp 		 Score: 0.9044
A tout le monde 		 A toutes &amp 		 Score: 0.9044
A toutes &amp 		 A tout le monde 		 Score: 0.9044
À tout le monde 		 A toutes &amp 		 Score: 0.9039
UNIVERSEL c'est pour tous 		 Universel signifie pour tous ! 		 Score: 0.9036
prioriser le revenu universel d'activité 		 a qui le revenu universel d'activité devra t il s'adresser ? 		 Score: 0.9030
Un revenu universel pour chacun(e) 		 A tous les citoyens comme est censé l'être un réel revenu universel 		 Score: 0.9027
Et les étudiants 		 inclure les étudiants 		 Score: 0.9023
Tout le monde : c'est un revenu UNIVERSEL 		 Un revenu Universel pour tous 		 Score: 0.9005
a qui le revenu universel doit s adresser 		 revenu universel pour tous 		 Score: 0.9004
a qui le revenu universel doit s adresser 		 revenu universel pour tous 		 Score: 0.9004
Un revenu universel pour chacun(e) 		 TOUT LE MONDE si c'est un revenu universel 		 Score: 0.9001
"Un ""vrai"" revenu universel pour tous." 		 Tout le monde : c'est un revenu UNIVERSEL 		 Score: 0.9000
A tous, sous condition de revenus 		 Pour tous les publics, sous conditions de revenus 		 Score: 0.8988
Universel ? Donc pour tous 		 Universel signifie pour tous ! 		 Score: 0.8985
Attribution à chaque citoyen français. 		 A tous les citoyens français 		 Score: 0.8985
A toustes 		 A Tous 		 Score: 0.8982
Aux Français 		 Les Français avant tout 		 Score: 0.8980
À tout le monde 		 Tout le monde 		 Score: 0.8977
À tout le monde 		 Tout le monde 		 Score: 0.8977
Un revenu pour tous 		 A tous, sous condition de revenus 		 Score: 0.8975
Les jeunes en situation de pauvreté 		 Les jeunes de moins de18 à 25 ans sans revenu 		 Score: 0.8975
revenu universel pour tous 		 A tous les citoyens comme est censé l'être un réel revenu universel 		 Score: 0.8969
revenu universel pour tous 		 A tous les citoyens comme est censé l'être un réel revenu universel 		 Score: 0.8969
Pour tous 		 À tout le monde 		 Score: 0.8966
À tout le monde 		 Pour tous 		 Score: 0.8966
À tout le monde 		 Pour tous 		 Score: 0.8966
À tout le monde 		 Pour tous 		 Score: 0.8966
À tout le monde 		 Pour tous 		 Score: 0.8966
A TOUT LE MONDE 		 A QUI DOIT S'ADRESSER LE RUA 		 Score: 0.8966
1 parent ayant un enfant handicapé à charge 		 Le parent qui est contraint d'arrêter de travailler pour s'occuper de son enfant en situation de handicap 		 Score: 0.8966
a qui verser l'aide 		 Les aidants 		 Score: 0.8957
A qui doit s'adresser le revenu universel 		 Un revenu Universel pour tous 		 Score: 0.8950
Un revenu pour tous 		 Un revenu Universel pour tous 		 Score: 0.8947
"Un ""vrai"" revenu universel pour tous." 		 Un revenu Universel pour tous 		 Score: 0.8912
Revenu universel pour tous 		 Revenu universel pour TOUS 		 Score: 0.8897
Revenu universel pour TOUS 		 Revenu universel pour tous 		 Score: 0.8897
Revenu universel pour TOUS 		 Revenu universel pour tous 		 Score: 0.8897
A qui doit s'adresser le revenu universel 		 Pourquoi fusionne le revenu universel et L'Aah 		 Score: 0.8895
Universel = Qui s'applique à tous 		 Universel . 		 Score: 0.8893
A tout les français sans distinction 		 A TOUT LE MONDE 		 Score: 0.8892
A tous ! Il suffirait de créer un revenu UNIVERSEL (et non un revenu universel d'activité). 		 TOUT LE MONDE si c'est un revenu universel 		 Score: 0.8890
A TOUT LE MONDE 		 AUX FRANCAIS 		 Score: 0.8885
À tous 		 pour tous 		 Score: 0.8880
À tous 		 pour tous 		 Score: 0.8880
NON aux personnes handicapées 		 Personne handicapée 		 Score: 0.8879
revenu universel pour tous 		 le revenu universel comme son nom l'indique doit s'appliquer à toutes et tous . 		 Score: 0.8872
le revenu universel comme son nom l'indique doit s'appliquer à toutes et tous . 		 revenu universel pour tous 		 Score: 0.8872
A TOUS LES FRANCAIS 		 Les Français avant tout 		 Score: 0.8863
pour tous en fonction des revenus 		 A tous, sous condition de revenus 		 Score: 0.8861
Non à l'intégration de l'ASPA et de l'AAH dans le RUA! 		 Non à l'intégration de l'aah et de l'aspa! 		 Score: 0.8859
Pour tous 		 A tout le monde 		 Score: 0.8858
Pour tous 		 A tout le monde 		 Score: 0.8858
Pour tous 		 A tout le monde 		 Score: 0.8858
A tout le monde 		 Pour tous 		 Score: 0.8858
A tout le monde 		 Pour tous 		 Score: 0.8858
A tout le monde 		 Pour tous 		 Score: 0.8858
A tout le monde 		 Pour tous 		 Score: 0.8858
A tout le monde 		 Pour tous 		 Score: 0.8858
A tout le monde 		 Pour tous 		 Score: 0.8858
A tout le monde 		 Pour tous 		 Score: 0.8858
A tout le monde 		 Pour tous 		 Score: 0.8858
Pour tous 		 A tout le monde 		 Score: 0.8858
Pour tous 		 A tout le monde 		 Score: 0.8858
Pour tous 		 A tout le monde 		 Score: 0.8858
Pour tous 		 A tout le monde 		 Score: 0.8858
Un revenu pour tous 		 revenu universel pour tous 		 Score: 0.8856
Un revenu pour tous 		 revenu universel pour tous 		 Score: 0.8856
un revenu universel 		 revenu universel d'activite 		 Score: 0.8855
A TOUT CITOYEN FRANCAIS 		 A QUI DOIT S'ADRESSER LE RUA 		 Score: 0.8853
Le RUA ne doit prendre en compte l'AAH 		 non à l'intégration de l'AAH dans le RUA 		 Score: 0.8853
a qui le revenu universel doit s adresser 		 Un revenu Universel pour tous 		 Score: 0.8844
Un revenu pour tous 		 Un revenu universel pour chacun(e) 		 Score: 0.8840
a qui le revenu universel doit s adresser 		 Pourquoi fusionne le revenu universel et L'Aah 		 Score: 0.8839
a tout le monde 		 A toutes &amp 		 Score: 0.8833
AUX FRANCAIS 		 Les Français avant tout 		 Score: 0.8829
Universelle 		 Universel . 		 Score: 0.8827
A toustes 		 ceux 		 Score: 0.8811
A tous 		 Pour tous 		 Score: 0.8803
A tous 		 Pour tous 		 Score: 0.8803
A tous 		 Pour tous 		 Score: 0.8803
A tous 		 Pour tous 		 Score: 0.8803
A tous 		 Pour tous 		 Score: 0.8803
Pour tous 		 A tous 		 Score: 0.8803
Pour tous 		 A tous 		 Score: 0.8803
Pour tous 		 A tous 		 Score: 0.8803
Pour tous 		 A tous 		 Score: 0.8803
Pour tous 		 A tous 		 Score: 0.8803
Pour tous 		 A tous 		 Score: 0.8803
A tous 		 Pour tous 		 Score: 0.8803
A tous 		 Pour tous 		 Score: 0.8803
Pour tous 		 A tous 		 Score: 0.8803
A tous 		 Pour tous 		 Score: 0.8803
Universel = Qui s'applique à tous 		 Universel signifie pour tous ! 		 Score: 0.8803
A tous les citoyens comme est censé l'être un réel revenu universel 		 TOUT LE MONDE si c'est un revenu universel 		 Score: 0.8794
le revenu universel comme son nom l'indique doit s'appliquer à toutes et tous . 		 A tous les citoyens comme est censé l'être un réel revenu universel 		 Score: 0.8793
A tous les CITOYENS 		 a tout le monde 		 Score: 0.8791
un revenu universel 		 Pourquoi fusionne le revenu universel et L'Aah 		 Score: 0.8789
Pour qui le RUA 		 RU pour qui 		 Score: 0.8787
RUA 		 contrepartie du RUA 		 Score: 0.8785
RUA 		 contrepartie du RUA 		 Score: 0.8785
RUA 		 contrepartie du RUA 		 Score: 0.8785
RUA 		 contrepartie du RUA 		 Score: 0.8785
RUA 		 contrepartie du RUA 		 Score: 0.8785
contrepartie du RUA 		 RUA 		 Score: 0.8785
Revenue universelle 		 un revenu universel 		 Score: 0.8781
Un revenu Universel pour tous 		 A tous les citoyens comme est censé l'être un réel revenu universel 		 Score: 0.8781
Revenue universelle 		 Un revenu Universel pour tous 		 Score: 0.8780
LA THEORIE DU REVENU UNIVERSEL 		 POUR UN REVENU DE BASE VRAIMENT UNIVERSEL 		 Score: 0.8778
AUX PERSONNES EN RECHERCHE D' EMPLOI ( sans chômage et sans AUCUN  REVENUS  ) entre 55 et 65 ans 		 Toutes les personnes en âge de travailler et sans emploi 		 Score: 0.8777
pour tous en fonction des revenus 		 Pour tous les publics, sous conditions de revenus 		 Score: 0.8774
Sauf handicapés 		 Les handicaps non reconnus ou partiellement 		 Score: 0.8774
Un revenu de base ne peut être qu'universel, c'est à dire versé à tous les membres de la communauté sans condition. 		 le revenu universel comme son nom l'indique doit s'appliquer à toutes et tous . 		 Score: 0.8773
A qui doit s'adresser le revenu universel 		 A tous les citoyens comme est censé l'être un réel revenu universel 		 Score: 0.8769
Universel ? Donc pour tous 		 Universel ou PAS ? 		 Score: 0.8766
Certainement pas aux personnes handicapées 		 Personne handicapée 		 Score: 0.8764
NON aux personnes handicapées 		 Sauf handicapés 		 Score: 0.8763
Travailleurs pauvres et étudiants 		 Les travailleurs pauvres 		 Score: 0.8760
Un revenu universel pour chacun(e) 		 Tout le monde : c'est un revenu UNIVERSEL 		 Score: 0.8758
À tout le monde 		 pour tous 		 Score: 0.8758
A tout les français sans distinction 		 Les Français avant tout 		 Score: 0.8755
A qui doit s'adresser le revenu universel 		 Tout le monde : c'est un revenu UNIVERSEL 		 Score: 0.8754
À tout le monde sous le seuil de pauvreté. 		 A tout adulte en dessous du seuil de pauvreté. 		 Score: 0.8752
Tout le monde : c'est un revenu UNIVERSEL 		 A tous les citoyens comme est censé l'être un réel revenu universel 		 Score: 0.8751
A tout le monde sauf au personne handicapées 		 Personne handicapée 		 Score: 0.8739
Les Français avant tout 		 Les Français en Europe 		 Score: 0.8738
"Un ""vrai"" revenu universel pour tous." 		 revenu universel pour tous 		 Score: 0.8736
"Un ""vrai"" revenu universel pour tous." 		 revenu universel pour tous 		 Score: 0.8736
Pour tous 		 Tout le monde 		 Score: 0.8734
Pour tous 		 Tout le monde 		 Score: 0.8734
Tout le monde 		 Pour tous 		 Score: 0.8734
Tout le monde 		 Pour tous 		 Score: 0.8734
Tout le monde 		 Pour tous 		 Score: 0.8734
Tout le monde 		 Pour tous 		 Score: 0.8734
Pour tous 		 Tout le monde 		 Score: 0.8734
Pour tous 		 Tout le monde 		 Score: 0.8734
Pour tous 		 Tout le monde 		 Score: 0.8734
Tout le monde 		 Pour tous 		 Score: 0.8734
Universel ? Donc pour tous 		 Universel . 		 Score: 0.8731
Aux étudiants ! 		 Et les étudiants 		 Score: 0.8729
A tous les citoyens comme est censé l'être un réel revenu universel 		 "Un ""vrai"" revenu universel pour tous." 		 Score: 0.8728
L'allocation d'Adulte Handicapé, l'APL et toutes les aides concernant le handicap ne doit pas être inclusent dans le Revenu Universel d'Activité 		 Exclure l'Allocation pour Adulte Handicapé(e) du Revenu Universel d'Activité. 		 Score: 0.8728
a qui le revenu universel d'activité devra t il s'adresser ? 		 A qui doit s'adresser le revenu universel 		 Score: 0.8715
A TOUS LES FRANCAIS 		 A QUI DOIT S'ADRESSER LE RUA 		 Score: 0.8704
Un revenu de base ne peut être qu'universel, c'est à dire versé à tous les membres de la communauté sans condition. 		 A tous les citoyens comme est censé l'être un réel revenu universel 		 Score: 0.8701
A tout les français sans distinction 		 Tout citoyen Français 		 Score: 0.8700
AUX FRANCAIS 		 Les Français en Europe 		 Score: 0.8699
A TOUS LES PAUVRES 		 A QUI DOIT S'ADRESSER LE RUA 		 Score: 0.8698
a qui le revenu universel doit s adresser 		 A tous les citoyens comme est censé l'être un réel revenu universel 		 Score: 0.8698
A qui le RUA s' adresse t il ? 		 Pour qui le RUA 		 Score: 0.8698
AUX FRANCAIS 		 A tous les citoyens français 		 Score: 0.8692
Travailleurs pauvre 		 Travailleurs pauvres et étudiants 		 Score: 0.8689
Ayant droits 		 droits et devoirs 		 Score: 0.8688
Pour tous 		 a tout le monde 		 Score: 0.8684
a tout le monde 		 Pour tous 		 Score: 0.8684
a tout le monde 		 Pour tous 		 Score: 0.8684
a tout le monde 		 Pour tous 		 Score: 0.8684
a tout le monde 		 Pour tous 		 Score: 0.8684
revenu universel aussi pour les enfants 		 revenu universel pour tous 		 Score: 0.8682
revenu universel aussi pour les enfants 		 revenu universel pour tous 		 Score: 0.8682
A TOUS LES FRANCAIS 		 A TOUS LES PAUVRES 		 Score: 0.8681
a qui le revenu universel doit s adresser 		 Tout le monde : c'est un revenu UNIVERSEL 		 Score: 0.8676
Universel 		 Universel = Qui s'applique à tous 		 Score: 0.8669
A tous les citoyens comme est censé l'être un réel revenu universel 		 un revenu universel 		 Score: 0.8665
A tous les citoyens français 		 Aux Français 		 Score: 0.8665
A tous à partir de 18 ans 		 Un RUA dès 18 ans 		 Score: 0.8663
Secteur animation 		 Secteur animation sous payé 		 Score: 0.8663
Un revenu universel pour chacun(e) 		 le revenu universel comme son nom l'indique doit s'appliquer à toutes et tous . 		 Score: 0.8658
Pas aux porteurs daah 		 Non a l'aah dans le RUA 		 Score: 0.8655
a qui le revenu universel doit s adresser 		 a qui le revenu universel d'activité devra t il s'adresser ? 		 Score: 0.8655
A tous les CITOYENS 		 pour tous 		 Score: 0.8654
A tout le monde 		 pour tous 		 Score: 0.8651
pour tous 		 A tout le monde 		 Score: 0.8651
pour tous 		 A tout le monde 		 Score: 0.8651
A TOUS LES FRANCAIS 		 Tout citoyen Français 		 Score: 0.8649
A TOUT CITOYEN FRANCAIS 		 Les Français avant tout 		 Score: 0.8634
A tout les français sans distinction 		 A QUI DOIT S'ADRESSER LE RUA 		 Score: 0.8634
Un revenu universel pour chacun(e) 		 revenu universel aussi pour les enfants 		 Score: 0.8632
À tous 		 Tout le monde 		 Score: 0.8632
À tous 		 Tout le monde 		 Score: 0.8632
À tous 		 Tout le monde 		 Score: 0.8632
À tous 		 Tout le monde 		 Score: 0.8632
Pour tous 		 A tous les CITOYENS 		 Score: 0.8625
A tous les CITOYENS 		 Pour tous 		 Score: 0.8625
A tous les CITOYENS 		 Pour tous 		 Score: 0.8625
A tous les CITOYENS 		 Pour tous 		 Score: 0.8625
A tous les CITOYENS 		 Pour tous 		 Score: 0.8625
Universel ? Donc pour tous 		 UNIVERSEL c'est pour tous 		 Score: 0.8623
A tous les CITOYENS 		 TUA pour tous 		 Score: 0.8618
UNIVERSEL 		 REVENU UNIVERSEL 		 Score: 0.8613
REVENU UNIVERSEL 		 UNIVERSEL 		 Score: 0.8613
