TO ALL FRENCH CITIZENS 		 To all French citizens 		 Score: 1.0000
RUA 		 RUA 		 Score: 1.0000
One-stop shop for social benefits 		 One-stop shop for social benefits 		 Score: 1.0000
For all 		 for all 		 Score: 1.0000
For all 		 For all 		 Score: 1.0000
For all 		 For all 		 Score: 1.0000
For all 		 For all 		 Score: 1.0000
For all 		 For all 		 Score: 1.0000
for all 		 For all 		 Score: 1.0000
for all 		 For all 		 Score: 1.0000
for all 		 For all 		 Score: 1.0000
for all 		 For all 		 Score: 1.0000
RUA and AAH 		 RUA and AAH 		 Score: 1.0000
For all 		 For all 		 Score: 1.0000
For all 		 For all 		 Score: 1.0000
For all 		 For all 		 Score: 1.0000
For all 		 For all 		 Score: 1.0000
For all 		 For all 		 Score: 1.0000
For all 		 For all 		 Score: 1.0000
RUA 		 RUA 		 Score: 1.0000
RUA 		 RUA 		 Score: 1.0000
RUA 		 RUA 		 Score: 1.0000
RUA 		 RUA 		 Score: 1.0000
RUA 		 RUA 		 Score: 1.0000
RUA 		 RUA 		 Score: 1.0000
TO THE FRENCH 		 To the French 		 Score: 1.0000
RUA 		 RUA 		 Score: 1.0000
RUA 		 RUA 		 Score: 1.0000
To all persons without income 		 To all persons without income 		 Score: 1.0000
RUA 		 RUA 		 Score: 1.0000
RUA 		 RUA 		 Score: 1.0000
RUA 		 RUA 		 Score: 1.0000
RUA 		 RUA 		 Score: 1.0000
RUA 		 RUA 		 Score: 1.0000
RUA 		 RUA 		 Score: 1.0000
To everyone 		 To everyone 		 Score: 1.0000
To everyone 		 To everyone 		 Score: 1.0000
TO EVERYONE 		 To everyone 		 Score: 1.0000
TO EVERYONE 		 To everyone 		 Score: 1.0000
AAH 		 AAH 		 Score: 1.0000
AAH 		 aah 		 Score: 1.0000
AAH 		 aah 		 Score: 1.0000
To everyone 		 To everyone 		 Score: 1.0000
To everyone 		 to everyone 		 Score: 1.0000
To everyone 		 To everyone 		 Score: 1.0000
To everyone 		 to everyone 		 Score: 1.0000
To everyone 		 To everyone 		 Score: 1.0000
To everyone 		 TO EVERYONE 		 Score: 1.0000
To everyone 		 to everyone 		 Score: 1.0000
To everyone 		 To everyone 		 Score: 1.0000
TO EVERYONE 		 to everyone 		 Score: 1.0000
TO EVERYONE 		 To everyone 		 Score: 1.0000
to everyone 		 To everyone 		 Score: 1.0000
who should receive a universal income 		 Who should receive a universal income? 		 Score: 0.9744
Aid, yes, but... 		 aid yes but ..... 		 Score: 0.9740
A universal income for everyone 		 A Universal Income for All 		 Score: 0.9698
UNIVERSAL 		 Universal . 		 Score: 0.9622
Universal 		 Universal . 		 Score: 0.9622
Universal 		 Universal . 		 Score: 0.9622
Universal . 		 UNIVERSAL 		 Score: 0.9622
a universal income 		 UNIVERSAL INCOME 		 Score: 0.9581
a universal income 		 A Universal Income for All 		 Score: 0.9570
A universal income for everyone 		 a universal income 		 Score: 0.9556
Universal? So for everyone 		 UNIVERSAL is for everyone 		 Score: 0.9550
Who should the Universal Activity Income be aimed at? 		 To whom should the universal activity income be addressed? 		 Score: 0.9518
Universal income for all 		 A Universal Income for All 		 Score: 0.9499
Universal Income for ALL 		 A Universal Income for All 		 Score: 0.9499
Universal income for all 		 A Universal Income for All 		 Score: 0.9499
universal income for all 		 A Universal Income for All 		 Score: 0.9499
Universal income for all 		 A Universal Income for All 		 Score: 0.9499
universal income for all 		 A Universal Income for All 		 Score: 0.9499
Universal income for all 		 UNIVERSAL INCOME 		 Score: 0.9455
Universal Income for ALL 		 UNIVERSAL INCOME 		 Score: 0.9455
Universal income for all 		 UNIVERSAL INCOME 		 Score: 0.9455
universal income for all 		 UNIVERSAL INCOME 		 Score: 0.9455
Universal income for all 		 UNIVERSAL INCOME 		 Score: 0.9455
UNIVERSAL INCOME 		 universal income for all 		 Score: 0.9455
Who is the RUA for? 		 Who is the rua 		 Score: 0.9387
UNIVERSAL INCOME 		 A Universal Income for All 		 Score: 0.9376
Integration of the aah in the RUA 		 no to the integration of the AAH in the RUA 		 Score: 0.9309
People with disabilities living in poverty 		 People with disabilities and their families experiencing poverty 		 Score: 0.9289
TO ALL FRENCH CITIZENS 		 TO ALL THE FRENCH PEOPLE 		 Score: 0.9259
To all French citizens 		 TO ALL THE FRENCH PEOPLE 		 Score: 0.9259
All adults and emancipated minors 		 To all adults and emancipated minors 		 Score: 0.9226
Universal? So for everyone 		 Universal or NOT? 		 Score: 0.9190
A universal income for everyone 		 UNIVERSAL INCOME 		 Score: 0.9179
People with disabilities living in poverty 		 NO to the question on People with disabilities living in poverty 		 Score: 0.9113
A universal income for everyone 		 Everyone: it is a UNIVERSAL income 		 Score: 0.9094
Everyone: it is a UNIVERSAL income 		 A Universal Income for All 		 Score: 0.9034
UNIVERSAL INCOME 		 Everyone: it is a UNIVERSAL income 		 Score: 0.9033
Universal income for all 		 Universal income for all without conditions 		 Score: 0.9014
Universal Income for ALL 		 Universal income for all without conditions 		 Score: 0.9014
Universal income for all 		 Universal income for all without conditions 		 Score: 0.9014
universal income for all 		 Universal income for all without conditions 		 Score: 0.9014
Universal income for all 		 Universal income for all without conditions 		 Score: 0.9014
universal income for all 		 Universal income for all without conditions 		 Score: 0.9014
No to the integration of the ASPA and the AAH in the RUA! 		 No to the integration of the aah and the aspa! 		 Score: 0.8997
UNIVERSAL BASIC INCOME 		 FOR A TRULY UNIVERSAL BASIC INCOME 		 Score: 0.8987
To all 		 To all . 		 Score: 0.8976
To all 		 To all . 		 Score: 0.8976
To all 		 To all . 		 Score: 0.8976
To all 		 To all . 		 Score: 0.8976
To all . 		 To all 		 Score: 0.8976
To all . 		 To all 		 Score: 0.8976
To all . 		 To all 		 Score: 0.8976
To all . 		 To All 		 Score: 0.8976
Universal? So for everyone 		 Universal . 		 Score: 0.8976
Activity income 		 Another vision of the activity income 		 Score: 0.8962
UNIVERSAL INCOME 		 THE THEORY OF UNIVERSAL INCOME 		 Score: 0.8958
A universal income for everyone 		 Universal income for all 		 Score: 0.8948
A universal income for everyone 		 Universal Income for ALL 		 Score: 0.8948
A universal income for everyone 		 Universal income for all 		 Score: 0.8948
A universal income for everyone 		 universal income for all 		 Score: 0.8948
A universal income for everyone 		 Universal income for all 		 Score: 0.8948
A universal income for everyone 		 universal income for all 		 Score: 0.8948
Exclude the AAH from the RUA 		 Replace the AAH with the RUA 		 Score: 0.8940
AAH in RUA 		 RUA and AAH 		 Score: 0.8933
AAH in RUA 		 RUA and AAH 		 Score: 0.8933
a universal income 		 Everyone: it is a UNIVERSAL income 		 Score: 0.8904
a universal income 		 THE THEORY OF UNIVERSAL INCOME 		 Score: 0.8900
Universal income for all 		 Everyone: it is a UNIVERSAL income 		 Score: 0.8891
Universal Income for ALL 		 Everyone: it is a UNIVERSAL income 		 Score: 0.8891
Universal income for all 		 Everyone: it is a UNIVERSAL income 		 Score: 0.8891
universal income for all 		 Everyone: it is a UNIVERSAL income 		 Score: 0.8891
Universal income for all 		 Everyone: it is a UNIVERSAL income 		 Score: 0.8891
universal income for all 		 Everyone: it is a UNIVERSAL income 		 Score: 0.8891
prioritize the universal activity income 		 universal activity income 		 Score: 0.8878
Universal or NOT? 		 Universal . 		 Score: 0.8867
The RUA must not take into account the AAH 		 the AAH must not become RUA 		 Score: 0.8862
Who is the RUA for? 		 For whom the RUA 		 Score: 0.8857
Universal? So for everyone 		 UNIVERSAL 		 Score: 0.8849
Universal? So for everyone 		 Universal 		 Score: 0.8849
Universal? So for everyone 		 Universal 		 Score: 0.8849
Universal? So for everyone 		 UNIVERSAL 		 Score: 0.8849
AAH and universal income 		 Why merge the universal income and the Aah 		 Score: 0.8848
To whom should the universal activity income be addressed? 		 universal activity income 		 Score: 0.8827
Universal income for all 		 a universal income 		 Score: 0.8819
Universal Income for ALL 		 a universal income 		 Score: 0.8819
Universal income for all 		 a universal income 		 Score: 0.8819
a universal income 		 universal income for all 		 Score: 0.8819
a universal income 		 Universal income for all 		 Score: 0.8819
a universal income 		 universal income for all 		 Score: 0.8819
Who should the Universal Activity Income be aimed at? 		 universal activity income 		 Score: 0.8804
UNIVERSAL INCOME 		 UNIVERSAL BASIC INCOME 		 Score: 0.8799
Person with a disability 		 disabled person 		 Score: 0.8798
UNIVERSAL is for everyone 		 UNIVERSAL 		 Score: 0.8793
UNIVERSAL is for everyone 		 Universal 		 Score: 0.8793
UNIVERSAL is for everyone 		 Universal 		 Score: 0.8793
UNIVERSAL is for everyone 		 UNIVERSAL 		 Score: 0.8793
Who is the RUA for? 		 counterpart of the RUA 		 Score: 0.8788
RUA 		 RUA FOR ALL 		 Score: 0.8774
RUA 		 RUA FOR ALL 		 Score: 0.8774
RUA FOR ALL 		 RUA 		 Score: 0.8774
RUA FOR ALL 		 RUA 		 Score: 0.8774
RUA 		 RUA FOR ALL 		 Score: 0.8774
RUA 		 RUA FOR ALL 		 Score: 0.8774
RUA 		 RUA FOR ALL 		 Score: 0.8774
RUA 		 RUA FOR ALL 		 Score: 0.8774
RUA 		 RUA FOR ALL 		 Score: 0.8774
RUA FOR ALL 		 RUA 		 Score: 0.8774
RUA FOR ALL 		 RUA 		 Score: 0.8774
RUA FOR ALL 		 RUA 		 Score: 0.8774
TO THE FRENCH 		 TO ALL THE FRENCH PEOPLE 		 Score: 0.8774
TO ALL THE FRENCH PEOPLE 		 To the French 		 Score: 0.8774
UNIVERSAL 		 Universal or NOT? 		 Score: 0.8754
Universal 		 Universal or NOT? 		 Score: 0.8754
Universal or NOT? 		 Universal 		 Score: 0.8754
Universal or NOT? 		 UNIVERSAL 		 Score: 0.8754
For whom the RUA 		 Who is the rua 		 Score: 0.8731
Universal = Applies to all 		 Universal = all without exceptions or conditions 		 Score: 0.8719
Poor workers 		 The working poor 		 Score: 0.8709
UNIVERSAL is for everyone 		 Universal or NOT? 		 Score: 0.8700
Who can claim the Universal Activity Income 		 universal activity income 		 Score: 0.8698
"Make universal ""universal (activity) income""" 		 universal activity income 		 Score: 0.8693
UNIVERSAL INCOME 		 Universal income for all without conditions 		 Score: 0.8688
Who should the Universal Activity Income be aimed at? 		 prioritize the universal activity income 		 Score: 0.8675
prioritize the universal activity income 		 To whom should the universal activity income be addressed? 		 Score: 0.8670
THE THEORY OF UNIVERSAL INCOME 		 A Universal Income for All 		 Score: 0.8657
Universal under conditions? 		 Universal = all without exceptions or conditions 		 Score: 0.8649
UNIVERSAL is for everyone 		 Universal . 		 Score: 0.8649
UNIVERSAL is for everyone 		 Universal = Applies to all 		 Score: 0.8647
The AAH should not be included in the RUA. 		 Exclude the AAH from the RUA 		 Score: 0.8640
no to the integration of the AAH in the RUA 		 No to the integration of the ASPA and the AAH in the RUA! 		 Score: 0.8640
NO to the question on People with disabilities living in poverty 		 People with disabilities and their families experiencing poverty 		 Score: 0.8639
Universal income for all without conditions 		 A Universal Income for All 		 Score: 0.8636
the AAH must not become RUA 		 No to aah in the RUA 		 Score: 0.8633
NO to people with disabilities 		 Certainly not to people with disabilities 		 Score: 0.8626
counterpart of the RUA 		 Who is the rua 		 Score: 0.8615
Universal income must be granted from the age of 18 		 Universal Income = Everyone over 18 years of age 		 Score: 0.8610
UNIVERSAL INCOME 		 universal activity income 		 Score: 0.8599
RUA 		 Who is the rua 		 Score: 0.8598
RUA 		 Who is the rua 		 Score: 0.8598
RUA 		 Who is the rua 		 Score: 0.8598
RUA 		 Who is the rua 		 Score: 0.8598
RUA 		 Who is the rua 		 Score: 0.8598
RUA 		 Who is the rua 		 Score: 0.8598
Universal solidarity income, not activity income! 		 universal activity income 		 Score: 0.8595
The AAH must not be included in the Universal Activity Income 		 The AAH is not an activity income. 		 Score: 0.8584
The RUA must not take into account the AAH 		 Exclude the AAH from the RUA 		 Score: 0.8571
Who should receive a universal income? 		 EVERYONE if it is a universal income 		 Score: 0.8569
Universal income to be given to all without conditions...universal citizenship income 		 Universal income for all without conditions 		 Score: 0.8568
who should receive a universal income 		 the universal income, as its name indicates, must apply to everyone. 		 Score: 0.8568
Who should the Rua contact? 		 WHO SHOULD THE RUA 		 Score: 0.8564
Who should the RUA contact? 		 WHO SHOULD THE RUA 		 Score: 0.8564
The RUA must not take into account the AAH 		 No to aah in the RUA 		 Score: 0.8562
Who is the RUA for? 		 RUA 		 Score: 0.8557
Who is the RUA for? 		 RUA 		 Score: 0.8557
RUA 		 Who is the RUA for? 		 Score: 0.8557
Who is the RUA for? 		 RUA 		 Score: 0.8557
Who is the RUA for? 		 RUA 		 Score: 0.8557
Who is the RUA for? 		 RUA 		 Score: 0.8557
the universal income, as its name indicates, must apply to everyone. 		 Everyone: it is a UNIVERSAL income 		 Score: 0.8549
An income for all 		 A Universal Income for All 		 Score: 0.8543
The RUA must not take into account the AAH 		 The AAH should not be included in the RUA. 		 Score: 0.8539
Universal income for all 		 UNIVERSAL BASIC INCOME 		 Score: 0.8539
Universal Income for ALL 		 UNIVERSAL BASIC INCOME 		 Score: 0.8539
Universal income for all 		 UNIVERSAL BASIC INCOME 		 Score: 0.8539
universal income for all 		 UNIVERSAL BASIC INCOME 		 Score: 0.8539
Universal income for all 		 UNIVERSAL BASIC INCOME 		 Score: 0.8539
universal income for all 		 UNIVERSAL BASIC INCOME 		 Score: 0.8539
Everyone: it is a UNIVERSAL income 		 EVERYONE if it is a universal income 		 Score: 0.8539
To all 		 TO WHO? TO ALL 		 Score: 0.8530
To all 		 TO WHO? TO ALL 		 Score: 0.8530
To all 		 TO WHO? TO ALL 		 Score: 0.8530
TO WHO? TO ALL 		 To all 		 Score: 0.8530
TO WHO? TO ALL 		 To all 		 Score: 0.8530
TO WHO? TO ALL 		 To all 		 Score: 0.8530
TO WHO? TO ALL 		 To all 		 Score: 0.8530
TO WHO? TO ALL 		 To All 		 Score: 0.8530
AAH in RUA 		 No to aah in the RUA 		 Score: 0.8526
"A ""true"" universal income for all."" 		 A Universal Income for All 		 Score: 0.8493
A universal income for everyone 		 THE THEORY OF UNIVERSAL INCOME 		 Score: 0.8476
Exclude the AAH from the RUA 		 the AAH must not become RUA 		 Score: 0.8443
For whom the RUA 		 WHO SHOULD THE RUA 		 Score: 0.8432
Universal income for all 		 THE THEORY OF UNIVERSAL INCOME 		 Score: 0.8422
Universal Income for ALL 		 THE THEORY OF UNIVERSAL INCOME 		 Score: 0.8422
Universal income for all 		 THE THEORY OF UNIVERSAL INCOME 		 Score: 0.8422
universal income for all 		 THE THEORY OF UNIVERSAL INCOME 		 Score: 0.8422
Universal income for all 		 THE THEORY OF UNIVERSAL INCOME 		 Score: 0.8422
universal income for all 		 THE THEORY OF UNIVERSAL INCOME 		 Score: 0.8422
universal income also for children 		 UNIVERSAL INCOME 		 Score: 0.8404
TO ALL FRENCH CITIZENS 		 All French citizens 		 Score: 0.8396
To all French citizens 		 All French citizens 		 Score: 0.8396
UNIVERSAL BASIC INCOME 		 A Universal Income for All 		 Score: 0.8396
Universal income for all 		 the universal income, as its name indicates, must apply to everyone. 		 Score: 0.8380
Universal Income for ALL 		 the universal income, as its name indicates, must apply to everyone. 		 Score: 0.8380
Universal income for all 		 the universal income, as its name indicates, must apply to everyone. 		 Score: 0.8380
universal income for all 		 the universal income, as its name indicates, must apply to everyone. 		 Score: 0.8380
the universal income, as its name indicates, must apply to everyone. 		 Universal income for all 		 Score: 0.8380
the universal income, as its name indicates, must apply to everyone. 		 universal income for all 		 Score: 0.8380
who should receive a universal income 		 Universal income for all 		 Score: 0.8375
who should receive a universal income 		 Universal Income for ALL 		 Score: 0.8375
who should receive a universal income 		 Universal income for all 		 Score: 0.8375
who should receive a universal income 		 universal income for all 		 Score: 0.8375
who should receive a universal income 		 Universal income for all 		 Score: 0.8375
who should receive a universal income 		 universal income for all 		 Score: 0.8375
WHO SHOULD THE RUA 		 Who is the rua 		 Score: 0.8358
The AAH should not be included in the RUA. 		 the AAH must not become RUA 		 Score: 0.8343
The AAH is not a social minimum like the others and should not be included in the scope of the RUA 		 The AAH is not a social minimum like any other 		 Score: 0.8341
who should receive a universal income 		 UNIVERSAL INCOME 		 Score: 0.8336
Universal? So for everyone 		 Universal = Applies to all 		 Score: 0.8336
Who should receive a universal income? 		 the universal income, as its name indicates, must apply to everyone. 		 Score: 0.8326
Universal income for all 		 universal income also for children 		 Score: 0.8323
universal income also for children 		 Universal Income for ALL 		 Score: 0.8323
universal income also for children 		 Universal income for all 		 Score: 0.8323
universal income also for children 		 universal income for all 		 Score: 0.8323
universal income also for children 		 Universal income for all 		 Score: 0.8323
universal income also for children 		 universal income for all 		 Score: 0.8323
A Universal Income for All 		 To all citizens as a real universal income is supposed to be 		 Score: 0.8322
To whom should the universal activity income be addressed? 		 "Make universal ""universal (activity) income""" 		 Score: 0.8321
For whom the RUA 		 RUA FOR ALL 		 Score: 0.8314
For whom the RUA 		 RUA FOR ALL 		 Score: 0.8314
a universal income 		 UNIVERSAL BASIC INCOME 		 Score: 0.8310
TO ALL FRENCH CITIZENS 		 TO THE FRENCH 		 Score: 0.8309
TO ALL FRENCH CITIZENS 		 To the French 		 Score: 0.8309
TO THE FRENCH 		 To all French citizens 		 Score: 0.8309
To all French citizens 		 To the French 		 Score: 0.8309
A non-universal, non-activity-based income. 		 universal activity income 		 Score: 0.8300
Everyone: it is a UNIVERSAL income 		 To all citizens as a real universal income is supposed to be 		 Score: 0.8299
Who should receive a universal income? 		 Everyone: it is a UNIVERSAL income 		 Score: 0.8297
To whom should the universal activity income be addressed? 		 Who can claim the Universal Activity Income 		 Score: 0.8277
Universal income for all 		 To all citizens as a real universal income is supposed to be 		 Score: 0.8259
Universal Income for ALL 		 To all citizens as a real universal income is supposed to be 		 Score: 0.8259
Universal income for all 		 To all citizens as a real universal income is supposed to be 		 Score: 0.8259
universal income for all 		 To all citizens as a real universal income is supposed to be 		 Score: 0.8259
Universal income for all 		 To all citizens as a real universal income is supposed to be 		 Score: 0.8259
universal income for all 		 To all citizens as a real universal income is supposed to be 		 Score: 0.8259
the universal income, as its name indicates, must apply to everyone. 		 UNIVERSAL INCOME 		 Score: 0.8258
An income for all 		 for all according to income 		 Score: 0.8245
A universal income for everyone 		 UNIVERSAL BASIC INCOME 		 Score: 0.8238
To all potential beneficiaries without exception 		 beneficiaries 		 Score: 0.8227
Universal = Applies to all 		 Universal means for all! 		 Score: 0.8218
a universal income 		 universal activity income 		 Score: 0.8210
Except for the disabled 		 For everyone except the disabled 		 Score: 0.8209
Universal income to be given to all without conditions...universal citizenship income 		 Universal income for all 		 Score: 0.8208
Universal income to be given to all without conditions...universal citizenship income 		 Universal Income for ALL 		 Score: 0.8208
Universal income to be given to all without conditions...universal citizenship income 		 Universal income for all 		 Score: 0.8208
Universal income to be given to all without conditions...universal citizenship income 		 universal income for all 		 Score: 0.8208
Universal income to be given to all without conditions...universal citizenship income 		 Universal income for all 		 Score: 0.8208
Universal income to be given to all without conditions...universal citizenship income 		 universal income for all 		 Score: 0.8208
Exclude the AAH from the RUA 		 No to aah in the RUA 		 Score: 0.8206
Everyone: it is a UNIVERSAL income 		 THE THEORY OF UNIVERSAL INCOME 		 Score: 0.8198
who should receive a universal income 		 Everyone: it is a UNIVERSAL income 		 Score: 0.8197
"A ""true"" universal income for all."" 		 Universal income for all 		 Score: 0.8196
"A ""true"" universal income for all."" 		 Universal Income for ALL 		 Score: 0.8196
"A ""true"" universal income for all."" 		 Universal income for all 		 Score: 0.8196
"A ""true"" universal income for all."" 		 universal income for all 		 Score: 0.8196
"A ""true"" universal income for all."" 		 Universal income for all 		 Score: 0.8196
"A ""true"" universal income for all."" 		 universal income for all 		 Score: 0.8196
Who should the Universal Activity Income be aimed at? 		 "Make universal ""universal (activity) income""" 		 Score: 0.8189
A Universal Income for All 		 FOR A TRULY UNIVERSAL BASIC INCOME 		 Score: 0.8188
To parents on parental leave 		 Parents on parental leave and stay-at-home parents 		 Score: 0.8187
who should receive a universal income 		 EVERYONE if it is a universal income 		 Score: 0.8186
A universal income for everyone 		 To all citizens as a real universal income is supposed to be 		 Score: 0.8185
AAH in RUA 		 the AAH must not become RUA 		 Score: 0.8181
UNIVERSAL is for everyone 		 Universal means for all! 		 Score: 0.8180
the universal income, as its name indicates, must apply to everyone. 		 A Universal Income for All 		 Score: 0.8179
Who should receive a universal income? 		 A Universal Income for All 		 Score: 0.8177
A universal income for everyone 		 the universal income, as its name indicates, must apply to everyone. 		 Score: 0.8173
No to aah in the RUA 		 NO TO THE INCLUSION OF THE AAH IN THE FUTURE RUA 		 Score: 0.8169
A universal income for everyone 		 Universal income for all without conditions 		 Score: 0.8167
AAH and universal income 		 The AAH must not be included in the Universal Activity Income 		 Score: 0.8164
UNIVERSAL INCOME 		 To all citizens as a real universal income is supposed to be 		 Score: 0.8164
To whom the RUA should be addressed: universal... 		 For whom the RUA 		 Score: 0.8160
a universal income 		 Universal income for all without conditions 		 Score: 0.8158
A universal income for everyone 		 Who should receive a universal income? 		 Score: 0.8147
Universal income for all 		 universal activity income 		 Score: 0.8142
Universal Income for ALL 		 universal activity income 		 Score: 0.8142
Universal income for all 		 universal activity income 		 Score: 0.8142
universal income for all 		 universal activity income 		 Score: 0.8142
Universal income for all 		 universal activity income 		 Score: 0.8142
universal income for all 		 universal activity income 		 Score: 0.8142
For whom the RUA 		 counterpart of the RUA 		 Score: 0.8139
A basic income can only be universal, i.e. paid to all members of the community without condition. 		 UNIVERSAL BASIC INCOME 		 Score: 0.8138
RUA 		 counterpart of the RUA 		 Score: 0.8134
counterpart of the RUA 		 RUA 		 Score: 0.8134
RUA 		 counterpart of the RUA 		 Score: 0.8134
RUA 		 counterpart of the RUA 		 Score: 0.8134
RUA 		 counterpart of the RUA 		 Score: 0.8134
RUA 		 counterpart of the RUA 		 Score: 0.8134
Who is the RUA for? 		 WHO SHOULD THE RUA 		 Score: 0.8133
Universal income for all 		 Who should receive a universal income? 		 Score: 0.8132
Universal Income for ALL 		 Who should receive a universal income? 		 Score: 0.8132
Who should receive a universal income? 		 Universal income for all 		 Score: 0.8132
Who should receive a universal income? 		 universal income for all 		 Score: 0.8132
Who should receive a universal income? 		 Universal income for all 		 Score: 0.8132
Who should receive a universal income? 		 universal income for all 		 Score: 0.8132
Who should receive a universal income? 		 UNIVERSAL INCOME 		 Score: 0.8130
Activity income 		 universal activity income 		 Score: 0.8130
Universal income for all without conditions 		 UNIVERSAL BASIC INCOME 		 Score: 0.8117
To whom the RUA should be addressed: universal... 		 WHO SHOULD THE RUA 		 Score: 0.8109
To all 		 To everyone 		 Score: 0.8109
To all 		 To everyone 		 Score: 0.8109
To all 		 To everyone 		 Score: 0.8109
To all 		 To everyone 		 Score: 0.8109
To all 		 To everyone 		 Score: 0.8109
To all 		 To everyone 		 Score: 0.8109
To everyone 		 To all 		 Score: 0.8109
To everyone 		 To all 		 Score: 0.8109
To everyone 		 To all 		 Score: 0.8109
To everyone 		 To all 		 Score: 0.8109
To everyone 		 To All 		 Score: 0.8109
To all 		 To everyone 		 Score: 0.8109
To everyone 		 To all 		 Score: 0.8109
To everyone 		 To all 		 Score: 0.8109
To everyone 		 To all 		 Score: 0.8109
To everyone 		 To All 		 Score: 0.8109
To all 		 To everyone 		 Score: 0.8109
To all 		 TO EVERYONE 		 Score: 0.8109
To all 		 to everyone 		 Score: 0.8109
To all 		 To everyone 		 Score: 0.8109
To all 		 To everyone 		 Score: 0.8109
To all 		 TO EVERYONE 		 Score: 0.8109
To all 		 to everyone 		 Score: 0.8109
To all 		 To everyone 		 Score: 0.8109
To everyone 		 To all 		 Score: 0.8109
To everyone 		 To all 		 Score: 0.8109
To everyone 		 To all 		 Score: 0.8109
To everyone 		 To all 		 Score: 0.8109
To everyone 		 To all 		 Score: 0.8109
To everyone 		 To All 		 Score: 0.8109
TO EVERYONE 		 To all 		 Score: 0.8109
TO EVERYONE 		 To all 		 Score: 0.8109
TO EVERYONE 		 To all 		 Score: 0.8109
TO EVERYONE 		 To all 		 Score: 0.8109
TO EVERYONE 		 To all 		 Score: 0.8109
TO EVERYONE 		 To All 		 Score: 0.8109
To all 		 to everyone 		 Score: 0.8109
To all 		 To everyone 		 Score: 0.8109
To all 		 to everyone 		 Score: 0.8109
To all 		 To everyone 		 Score: 0.8109
to everyone 		 To all 		 Score: 0.8109
to everyone 		 To all 		 Score: 0.8109
to everyone 		 To all 		 Score: 0.8109
to everyone 		 To All 		 Score: 0.8109
To all 		 To everyone 		 Score: 0.8109
To all 		 To everyone 		 Score: 0.8109
To all 		 To everyone 		 Score: 0.8109
